발생년,주야,요일,사망자수,사상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,경도,위도
2012,야간,수,1,1,경남,거창군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.8531913,35.5807185
2012,주간,금,1,1,경기,용인시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,127.0529365,37.31761455
2012,야간,금,1,2,경북,김천시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.0032241,36.19092077
2012,주간,목,1,1,경기,이천시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,127.4204256,37.23895584
2012,야간,월,1,1,전남,광양시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.6483932,34.9643711
2012,주간,일,1,5,전남,광양시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,127.7275002,34.98727926
2012,야간,목,1,2,경기,하남시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.1773642,37.57840723
2012,주간,월,1,1,충남,논산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.135484,36.1228595
2012,야간,월,1,5,경남,밀양시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,부당한 회전,128.7739994,35.44975847
2012,주간,목,1,1,전북,진안군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,127.4248084,35.77549842
2012,주간,목,1,5,대구,북구,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,128.5374982,35.89470642
2012,야간,일,1,1,대구,달성군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,128.4843343,35.80140818
2012,주간,월,2,2,전북,무주군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,127.6583712,35.96462112
2012,야간,화,1,1,경기,화성시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,126.9016264,37.28902129
2012,야간,금,1,2,경기,광명시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,126.8520277,37.43926226
2012,주간,일,1,1,경남,진주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.2759122,35.24882305
2012,야간,화,1,1,경남,진주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.2715912,35.23128594
2012,야간,토,1,1,경북,구미시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,128.2575694,36.26772642
2012,야간,목,1,3,경북,구미시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,128.2489158,36.27669705
2012,야간,일,1,6,전북,정읍시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,126.9094055,35.63407671
2012,야간,일,1,1,경기,화성시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,126.8107478,37.2066359
2012,야간,일,1,2,충남,서산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,126.50446,36.75058052
2012,야간,일,1,1,광주,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.8338956,35.15331167
2012,주간,수,1,1,경남,김해시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전거리 미확보,128.8590769,35.22071431
2012,야간,수,1,1,경기,안성시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.2017638,37.06876219
2012,주간,월,1,1,강원,춘천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.6849197,37.78841746
2012,야간,금,1,1,대전,유성구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.3253496,36.29997474
2012,주간,목,1,1,충남,태안군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,126.2918498,36.75975324
2012,야간,목,1,1,경기,포천시,차대사람,횡단중,횡단중,운전자법규위반,과속,127.2178411,38.01433447
2012,야간,금,1,1,인천,계양구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.7210047,37.54354126
2012,주간,화,1,1,서울,강서구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,126.8219947,37.54415531
2012,야간,목,1,1,전남,순천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.5214013,34.95367494
2012,야간,금,1,1,경기,양평군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.4149164,37.51546093
2012,주간,화,1,1,인천,강화군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,126.4715914,37.6468879
2012,주간,수,1,1,인천,연수구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,126.6699554,37.40524246
2012,주간,월,1,1,경기,양주시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,126.9330789,37.68576419
2012,야간,금,1,5,경남,진주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,128.2710925,35.23200144
2012,야간,수,1,1,경남,창원시(통합),차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.6468703,35.27485481
2012,주간,목,1,1,경남,함안군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,128.4014703,35.28752702
2012,주간,일,1,1,충남,청양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,126.830281,36.49126831
2012,야간,일,1,1,경북,경산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.7629997,35.8473881
2012,주간,일,1,3,강원,강릉시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.8393133,37.6692738
2012,주간,월,1,1,부산,기장군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,129.200668,35.25680531
2012,주간,일,1,1,경남,진주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,128.064092,35.19213393
2012,야간,토,1,1,경기,광주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.2970015,37.37469384
2012,주간,목,1,1,충남,천안시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,127.2966662,36.75811427
2012,주간,금,1,2,전북,남원시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,127.3879329,35.42619606
2012,야간,금,2,2,인천,남동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.7065366,37.46564096
2012,야간,목,1,1,인천,남동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.707045,37.44962738
2012,야간,화,1,2,부산,강서구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.9458047,35.22228805
2012,야간,금,1,2,충북,괴산군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.9980953,36.74375044
2012,야간,수,1,1,충북,제천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.1380384,37.14029124
2012,주간,목,1,1,경북,구미시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.3207402,36.13591977
2012,주간,화,1,3,경기,안산시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,126.8595432,37.34785943
2012,야간,목,1,3,전북,완주군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,127.2584188,35.80368043
2012,주간,월,1,3,전북,완주군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.0394541,35.83565237
2012,주간,토,1,4,충북,음성군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,127.5022468,36.96703096
2012,야간,화,1,1,경기,용인시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,127.1926612,37.25844164
2012,주간,수,1,1,경남,진주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,128.1147872,35.1589661
2012,야간,월,1,4,경기,용인시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.1035101,37.29377275
2012,야간,일,1,1,경남,진주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.2211021,35.18488075
